filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
X00016469612.jpg,98120,"{}",3,0,"{""name"":""rect"",""x"":72,""y"":94,""width"":353,""height"":139}","{""info"":""header""}"
X00016469612.jpg,98120,"{}",3,1,"{""name"":""rect"",""x"":50,""y"":370,""width"":295,""height"":20}","{""info"":""date""}"
X00016469612.jpg,98120,"{}",3,2,"{""name"":""rect"",""x"":86,""y"":702,""width"":365,""height"":20}","{""info"":""total""}"
X00016469619.jpg,85804,"{}",3,0,"{""name"":""rect"",""x"":72,""y"":165,""width"":284,""height"":121}","{""info"":""header""}"
X00016469619.jpg,85804,"{}",3,1,"{""name"":""rect"",""x"":25,""y"":367,""width"":192,""height"":21}","{""info"":""date""}"
X00016469619.jpg,85804,"{}",3,2,"{""name"":""rect"",""x"":260,""y"":765,""width"":118,""height"":19}","{""info"":""total""}"
X00016469620.jpg,124971,"{}",3,0,"{""name"":""rect"",""x"":42,""y"":160,""width"":354,""height"":155}","{""info"":""header""}"
X00016469620.jpg,124971,"{}",3,1,"{""name"":""rect"",""x"":20,""y"":772,""width"":150,""height"":20}","{""info"":""date""}"
X00016469620.jpg,124971,"{}",3,2,"{""name"":""rect"",""x"":20,""y"":687,""width"":413,""height"":24}","{""info"":""total""}"
X00016469622.jpg,93563,"{}",3,0,"{""name"":""rect"",""x"":87,""y"":109,""width"":284,""height"":190}","{""info"":""header""}"
X00016469622.jpg,93563,"{}",3,1,"{""name"":""rect"",""x"":277,""y"":343,""width"":142,""height"":17}","{""info"":""date""}"
X00016469622.jpg,93563,"{}",3,2,"{""name"":""rect"",""x"":33,""y"":655,""width"":349,""height"":22}","{""info"":""total""}"
X00016469623.jpg,102835,"{}",3,0,"{""name"":""rect"",""x"":42,""y"":172,""width"":362,""height"":149}","{""info"":""header""}"
X00016469623.jpg,102835,"{}",3,1,"{""name"":""rect"",""x"":24,""y"":847,""width"":148,""height"":23}","{""info"":""date""}"
X00016469623.jpg,102835,"{}",3,2,"{""name"":""rect"",""x"":21,""y"":762,""width"":417,""height"":23}","{""info"":""total""}"
X00016469669.jpg,111000,"{}",3,0,"{""name"":""rect"",""x"":103,""y"":91,""width"":233,""height"":111}","{""info"":""header""}"
X00016469669.jpg,111000,"{}",3,1,"{""name"":""rect"",""x"":25,""y"":266,""width"":276,""height"":20}","{""info"":""date""}"
X00016469669.jpg,111000,"{}",3,2,"{""name"":""rect"",""x"":146,""y"":417,""width"":269,""height"":24}","{""info"":""total""}"
X00016469672.jpg,208615,"{}",3,0,"{""name"":""rect"",""x"":15,""y"":108,""width"":419,""height"":210}","{""info"":""header""}"
X00016469672.jpg,208615,"{}",3,1,"{""name"":""rect"",""x"":297,""y"":357,""width"":140,""height"":19}","{""info"":""date""}"
X00016469672.jpg,208615,"{}",3,2,"{""name"":""rect"",""x"":198,""y"":1060,""width"":201,""height"":21}","{""info"":""total""}"
X00016469676.jpg,127699,"{}",3,0,"{""name"":""rect"",""x"":53,""y"":89,""width"":365,""height"":168}","{""info"":""header""}"
X00016469676.jpg,127699,"{}",3,1,"{""name"":""rect"",""x"":17,""y"":536,""width"":198,""height"":23}","{""info"":""date""}"
X00016469676.jpg,127699,"{}",3,2,"{""name"":""rect"",""x"":247,""y"":451,""width"":197,""height"":23}","{""info"":""total""}"
X51005200938.jpg,243639,"{}",3,0,"{""name"":""rect"",""x"":359,""y"":238,""width"":261,""height"":169}","{""info"":""header""}"
X51005200938.jpg,243639,"{}",3,1,"{""name"":""rect"",""x"":531,""y"":463,""width"":109,""height"":19}","{""info"":""date""}"
X51005200938.jpg,243639,"{}",3,2,"{""name"":""rect"",""x"":456,""y"":886,""width"":179,""height"":24}","{""info"":""total""}"
X51005230617.jpg,345189,"{}",3,0,"{""name"":""rect"",""x"":0,""y"":197,""width"":533,""height"":384}","{""info"":""header""}"
X51005230617.jpg,345189,"{}",3,1,"{""name"":""rect"",""x"":248,""y"":715,""width"":257,""height"":29}","{""info"":""date""}"
X51005230617.jpg,345189,"{}",3,2,"{""name"":""rect"",""x"":3,""y"":971,""width"":529,""height"":36}","{""info"":""total""}"
X51005255805.jpg,683767,"{}",3,0,"{""name"":""rect"",""x"":125,""y"":60,""width"":560,""height"":329}","{""info"":""header""}"
X51005255805.jpg,683767,"{}",3,1,"{""name"":""rect"",""x"":77,""y"":1289,""width"":495,""height"":47}","{""info"":""date""}"
X51005255805.jpg,683767,"{}",3,2,"{""name"":""rect"",""x"":85,""y"":970,""width"":606,""height"":53}","{""info"":""total""}"
X51005268200.jpg,801795,"{}",3,0,"{""name"":""rect"",""x"":70,""y"":292,""width"":581,""height"":394}","{""info"":""header""}"
X51005268200.jpg,801795,"{}",3,1,"{""name"":""rect"",""x"":387,""y"":802,""width"":253,""height"":36}","{""info"":""date""}"
X51005268200.jpg,801795,"{}",3,2,"{""name"":""rect"",""x"":89,""y"":1218,""width"":576,""height"":35}","{""info"":""total""}"
X51005268262.jpg,488454,"{}",3,0,"{""name"":""rect"",""x"":78,""y"":44,""width"":554,""height"":370}","{""info"":""header""}"
X51005268262.jpg,488454,"{}",3,1,"{""name"":""rect"",""x"":55,""y"":470,""width"":399,""height"":32}","{""info"":""date""}"
X51005268262.jpg,488454,"{}",3,2,"{""name"":""rect"",""x"":69,""y"":829,""width"":449,""height"":41}","{""info"":""total""}"
X51005268400.jpg,560882,"{}",3,0,"{""name"":""rect"",""x"":69,""y"":21,""width"":616,""height"":280}","{""info"":""header""}"
X51005268400.jpg,560882,"{}",3,1,"{""name"":""rect"",""x"":71,""y"":437,""width"":522,""height"":32}","{""info"":""date""}"
X51005268400.jpg,560882,"{}",3,2,"{""name"":""rect"",""x"":189,""y"":1034,""width"":517,""height"":65}","{""info"":""total""}"
X51005268472.jpg,771695,"{}",3,0,"{""name"":""rect"",""x"":123,""y"":71,""width"":569,""height"":258}","{""info"":""header""}"
X51005268472.jpg,771695,"{}",3,1,"{""name"":""rect"",""x"":528,""y"":312,""width"":209,""height"":57}","{""info"":""date""}"
X51005268472.jpg,771695,"{}",3,2,"{""name"":""rect"",""x"":88,""y"":1450,""width"":571,""height"":64}","{""info"":""total""}"
X51005301659.jpg,488454,"{}",3,0,"{""name"":""rect"",""x"":61,""y"":36,""width"":577,""height"":380}","{""info"":""header""}"
X51005301659.jpg,488454,"{}",3,1,"{""name"":""rect"",""x"":52,""y"":469,""width"":409,""height"":36}","{""info"":""date""}"
X51005301659.jpg,488454,"{}",3,2,"{""name"":""rect"",""x"":68,""y"":825,""width"":458,""height"":42}","{""info"":""total""}"
